"","eruptionID","geyser","eruption_time_epoch","has_seconds","exact","ns","ie","E","A","wc","ini","maj","min","q","duration","entrant","observer","eruption_comment","time_updated","time_entered","associated_primaryID","other_comments","Old_Faithful_Preplay_Time_VEC","Old_Faithful_Height_VEC"
"1","23132","Old Faithful","10506540",0,"1","0","0",0,0,0,0,1,0,0,"4min","BoekelUpload","OFVCL-EV","",1335129843,1335129843,23132,"NULL","NULL","NULL"
"2","23133","Old Faithful","10510800",0,"1","0","0",0,0,0,0,0,1,0,"1.5min","BoekelUpload","OFVCL-EV","",1335129876,1335129876,23133,"NULL","NULL","NULL"
"3","23134","Old Faithful","10513800",0,"1","0","0",0,0,0,0,1,0,0,"4.25m","BoekelUpload","OFVCL-EV","",1335129909,1335129909,23134,"NULL","NULL","NULL"
"4","23135","Old Faithful","10517820",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335129944,1335129944,23135,"NULL","NULL","NULL"
"5","23136","Old Faithful","10522680",0,"1","0","0",0,0,0,0,0,1,0,"1.75min","BoekelUpload","OFVCL-EV","",1335130069,1335130069,23136,"NULL","NULL","NULL"
"6","23137","Old Faithful","10525260",0,"1","0","0",0,0,0,0,1,0,0,"4.5min","BoekelUpload","OFVCL-EV","",1335130119,1335130119,23137,"NULL","NULL","NULL"
"7","23138","Old Faithful","10529460",0,"1","0","0",0,0,0,0,1,0,0,"4min","BoekelUpload","OFVCL-EV","",1335130175,1335130175,23138,"NULL","NULL","NULL"
"8","23139","Old Faithful","10533420",0,"1","0","0",0,0,0,0,1,0,0,"4min","BoekelUpload","OFVCL-EV","",1335130201,1335130201,23139,"NULL","NULL","NULL"
"9","23140","Old Faithful","10537560",0,"1","0","0",0,0,0,0,0,0,0,"","BoekelUpload","OFVCL-EV","",1335130225,1335130225,23140,"NULL","NULL","NULL"
"10","23145","Old Faithful","10593480",0,"1","0","0",0,0,0,0,1,0,0,"4min","BoekelUpload","OFVCL-EV","",1335130684,1335130684,23145,"NULL","NULL","NULL"
"11","23146","Old Faithful","10597680",0,"1","0","0",0,0,0,0,0,1,0,"2min","BoekelUpload","OFVCL-EV","",1335130723,1335130723,23146,"NULL","NULL","NULL"
"12","23147","Old Faithful","10600320",0,"1","0","0",0,0,0,0,1,0,0,"4.25min","BoekelUpload","OFVCL-EV","",1335130757,1335130757,23147,"NULL","NULL","NULL"
"13","23148","Old Faithful","10605600",0,"1","0","0",0,0,0,0,0,1,0,"1.75min","BoekelUpload","OFVCL-EV","",1335130804,1335130804,23148,"NULL","NULL","NULL"
"14","23150","Old Faithful","10608360",0,"1","0","0",0,0,0,0,1,0,0,"4min","BoekelUpload","OFVCL-EV","",1335130867,1335130867,23150,"NULL","NULL","NULL"
"15","23152","Old Faithful","10612320",0,"1","0","0",0,0,0,0,0,1,0,"2.25min","BoekelUpload","OFVCL-EV","",1335130978,1335130978,23152,"NULL","NULL","NULL"
"16","23153","Old Faithful","10615560",0,"1","0","0",0,0,0,0,1,0,0,"4min","BoekelUpload","OFVCL-EV","",1335131021,1335131021,23153,"NULL","NULL","NULL"
"17","23154","Old Faithful","10620060",0,"1","0","0",0,0,0,0,0,1,0,"2min","BoekelUpload","OFVCL-EV","",1335131050,1335131050,23154,"NULL","NULL","NULL"
"18","23151","Old Faithful","10623000",0,"1","0","0",0,0,0,0,1,0,0,"4min","BoekelUpload","OFVCL-EV","",1335130926,1335130926,23151,"NULL","NULL","NULL"
"19","23155","Old Faithful","10679040",0,"1","0","0",0,0,0,0,1,0,0,"4.25min","BoekelUpload","OFVCL-EV","",1335131238,1335131238,23155,"NULL","NULL","NULL"
"20","23158","Old Faithful","10683540",0,"1","0","0",0,0,0,0,0,1,0,"2.5min","BoekelUpload","OFVCL-EV","",1335131503,1335131503,23158,"NULL","NULL","NULL"
"21","23159","Old Faithful","10686840",0,"1","0","0",0,0,0,0,1,0,0,"4.5min","BoekelUpload","OFVCL-EV","",1335131525,1335131525,23159,"NULL","NULL","NULL"
"22","23167","Old Faithful","10690980",0,"1","0","0",0,0,0,0,1,0,0,"3+min","BoekelUpload","OFVCL-EV","",1335133466,1335133466,23167,"NULL","NULL","NULL"
"23","23168","Old Faithful","10696260",0,"1","0","0",0,0,0,0,0,1,0,"2min","BoekelUpload","OFVCL-EV","",1335133498,1335133498,23168,"NULL","NULL","NULL"
